AB de Villiers,Andre Russel,Ben Stokes,Chris Gayle,Chris Lynn,David Warner,Faf Du Plessis,Jonny Bairstow,Jos Buttler,Kane Williamson,Kieron Pollard,Marcus Stoinis,Moeen Ali,Quinton de Kock,Shane Watson,Steve Smith
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
4,3,16,5,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,13,15,7,11,14,4,8,12
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
4,3,16,6,9,1,10,2,13,15,7,11,14,5,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,8,11,14,4,7,12
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
4,3,16,5,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,8,1,10,2,13,15,9,12,14,5,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
6,3,16,5,9,1,10,2,13,15,8,12,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,12,15,7,13,14,5,8,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,8,1,10,3,12,15,9,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,6,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,8,1,10,3,12,15,9,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,2,16,4,8,1,10,3,12,15,9,13,14,6,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,11,15,8,13,14,4,7,12
5,3,16,4,9,1,10,2,12,15,7,13,14,6,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,13,15,8,12,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,14,13,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,3,9,1,10,4,13,15,7,12,14,6,8,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,5,9,1,10,2,11,15,8,13,14,4,7,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
4,2,16,6,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,6,9,1,10,3,13,15,7,11,14,4,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,2,16,5,9,1,10,4,12,15,8,13,14,3,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
4,2,16,5,9,1,10,3,13,15,7,12,14,6,8,11
6,3,16,5,9,1,10,2,12,15,7,13,14,4,8,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
5,3,16,4,9,1,10,2,11,15,7,13,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,8,1,10,3,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,3,16,5,9,1,10,2,13,15,8,12,14,4,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,8,11,14,5,7,12
6,3,16,5,9,1,10,2,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
4,3,16,5,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
4,2,16,6,9,1,10,3,13,15,7,11,14,5,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,13,15,7,11,14,4,8,12
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,3,16,5,9,1,10,2,13,15,7,12,14,4,8,11
6,2,16,4,8,1,10,3,12,15,9,13,14,5,7,11
5,3,16,6,9,1,10,2,13,15,7,12,14,4,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,2,16,5,9,1,10,3,12,15,7,13,14,4,8,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,14,13,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,7,13,14,5,8,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,7,13,14,5,8,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,3,16,5,9,1,10,2,13,15,8,12,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,5,9,1,10,2,13,15,8,11,14,4,7,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,8,12,14,6,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
5,3,16,6,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,13,15,8,11,14,4,7,12
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
4,2,16,5,9,1,10,3,12,15,8,13,14,6,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
4,3,16,6,9,1,10,2,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,3,16,5,9,1,10,2,12,15,7,13,14,4,8,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
5,3,16,6,9,1,10,2,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
4,3,16,5,9,1,10,2,13,15,7,12,14,6,8,11
6,2,16,4,9,1,10,3,12,15,8,14,13,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
4,3,16,5,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,2,16,5,9,1,10,3,13,15,7,12,14,4,8,11
5,2,16,6,9,1,10,3,13,15,7,11,14,4,8,12
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,3,16,5,9,1,10,2,13,15,7,12,14,4,8,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
4,3,16,5,9,1,10,2,13,15,7,12,14,6,8,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
4,3,16,6,9,1,10,2,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,12,15,8,13,14,6,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,14,13,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
5,2,16,4,9,1,10,3,12,15,7,13,14,6,8,11
6,2,16,4,9,1,10,3,13,15,8,11,14,5,7,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,3,16,5,9,1,10,2,13,15,7,12,14,4,8,11
6,2,16,4,8,1,10,3,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
4,3,16,5,9,1,10,2,13,15,7,11,14,6,8,12
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
5,3,16,6,9,1,10,2,13,15,7,12,14,4,8,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,2,16,5,9,1,10,3,13,15,8,12,14,4,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
5,2,16,4,9,1,10,3,13,15,8,12,14,6,7,11
5,2,16,6,9,1,10,4,13,15,7,12,14,3,8,11
6,2,16,5,9,1,10,3,13,15,7,12,14,4,8,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
4,2,16,5,9,1,10,3,13,15,8,12,14,6,7,11
5,2,16,6,9,1,10,3,13,15,7,12,14,4,8,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,11,14,5,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
5,2,16,4,9,1,10,3,13,15,7,12,14,6,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,12,15,8,13,14,4,7,11
4,3,16,6,9,1,10,2,13,15,7,11,14,5,8,12
5,3,16,4,9,1,10,2,13,15,7,12,14,6,8,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,13,15,7,12,14,5,8,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
5,2,16,4,9,1,10,3,13,15,7,11,14,6,8,12
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,2,16,4,9,1,10,3,13,15,8,12,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,9,1,10,2,13,15,8,12,14,4,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,11,14,5,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
4,3,16,6,9,1,10,2,13,15,7,11,14,5,8,12
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,5,9,1,10,2,13,15,7,11,14,4,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,5,8,1,10,2,12,15,9,13,14,4,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
5,3,16,4,9,1,10,2,13,15,7,11,14,6,8,12
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
6,3,16,4,9,1,10,2,12,15,8,13,14,5,7,11
5,2,16,4,9,1,10,3,13,15,7,12,14,6,8,11
6,2,16,5,9,1,10,3,13,15,7,11,14,4,8,12
6,3,16,4,8,1,10,2,12,15,9,13,14,5,7,11
5,2,16,4,9,1,10,3,12,15,8,13,14,6,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,4,9,1,10,3,12,15,8,13,14,5,7,11
6,2,16,5,9,1,10,4,13,15,7,11,14,3,8,12
6,3,16,4,9,1,10,2,13,15,8,12,14,5,7,11
6,3,16,4,9,1,10,2,13,15,7,12,14,5,8,11
6,2,16,5,9,1,10,3,12,15,8,13,14,4,7,11
